Episode 331/10000, Total Reward: -42, Epsilon: 0.9674402093489878
Episode 332/10000, Total Reward: -42, Epsilon: 0.9673434653280529
Episode 333/10000, Total Reward: -74, Epsilon: 0.9672467309815201
edge already selected: 19
edge already selected: 19
Episode 334/10000, Total Reward: -20000000074, Epsilon: 0.967150006308422
Episode 335/10000, Total Reward: 16, Epsilon: 0.9670532913077912
Episode 336/10000, Total Reward: 48, Epsilon: 0.9669565859786604
Episode 337/10000, Total Reward: -74, Epsilon: 0.9668598903200626
Episode 338/10000, Total Reward: -10, Epsilon: 0.9667632043310306
Episode 339/10000, Total Reward: -42, Epsilon: 0.9666665280105975
Episode 340/10000, Total Reward: -42, Epsilon: 0.9665698613577964
Episode 341/10000, Total Reward: -42, Epsilon: 0.9664732043716606
Episode 342/10000, Total Reward: -40, Epsilon: 0.9663765570512235
Episode 343/10000, Total Reward: -74, Epsilon: 0.9662799193955184
Episode 344/10000, Total Reward: -74, Epsilon: 0.9661832914035788
Episode 345/10000, Total Reward: 16, Epsilon: 0.9660866730744385
Episode 346/10000, Total Reward: -74, Epsilon: 0.9659900644071311
Episode 347/10000, Total Reward: 16, Epsilon: 0.9658934654006904
Episode 348/10000, Total Reward: -74, Epsilon: 0.9657968760541503
Episode 349/10000, Total Reward: 16, Epsilon: 0.9657002963665449
Episode 350/10000, Total Reward: 48, Epsilon: 0.9656037263369083
Episode 351/10000, Total Reward: -42, Epsilon: 0.9655071659642745
Episode 352/10000, Total Reward: 80, Epsilon: 0.9654106152476781
Episode 353/10000, Total Reward: -74, Epsilon: 0.9653140741861533
Episode 354/10000, Total Reward: -42, Epsilon: 0.9652175427787347
Episode 355/10000, Total Reward: -42, Epsilon: 0.9651210210244568
edge already selected: 19
Episode 356/10000, Total Reward: -10000000042, Epsilon: 0.9650245089223544
Episode 357/10000, Total Reward: 16, Epsilon: 0.9649280064714622
edge already selected: 19
Episode 358/10000, Total Reward: -9999999952, Epsilon: 0.964831513670815
edge already selected: 19
Episode 359/10000, Total Reward: -9999999984, Epsilon: 0.9647350305194479
edge already selected: 19
Episode 360/10000, Total Reward: -9999999984, Epsilon: 0.9646385570163959
edge already selected: 19
Episode 361/10000, Total Reward: -10000000074, Epsilon: 0.9645420931606943
Episode 362/10000, Total Reward: -74, Epsilon: 0.9644456389513782
Episode 363/10000, Total Reward: 16, Epsilon: 0.9643491943874831
Episode 364/10000, Total Reward: 16, Epsilon: 0.9642527594680443
Episode 365/10000, Total Reward: -42, Epsilon: 0.9641563341920976
Episode 366/10000, Total Reward: -74, Epsilon: 0.9640599185586783
Episode 367/10000, Total Reward: -42, Epsilon: 0.9639635125668224
Episode 368/10000, Total Reward: 16, Epsilon: 0.9638671162155658
edge already selected: 19
Episode 369/10000, Total Reward: -10000000042, Epsilon: 0.9637707295039442
Episode 370/10000, Total Reward: 16, Epsilon: 0.9636743524309938
Episode 371/10000, Total Reward: 48, Epsilon: 0.9635779849957506
Episode 372/10000, Total Reward: -74, Epsilon: 0.9634816271972511
Episode 373/10000, Total Reward: 16, Epsilon: 0.9633852790345313
Episode 374/10000, Total Reward: -74, Epsilon: 0.9632889405066278
Episode 375/10000, Total Reward: -42, Epsilon: 0.9631926116125772
Episode 376/10000, Total Reward: -42, Epsilon: 0.9630962923514159
Episode 377/10000, Total Reward: 16, Epsilon: 0.9629999827221808
Episode 378/10000, Total Reward: -42, Epsilon: 0.9629036827239086
Episode 379/10000, Total Reward: -74, Epsilon: 0.9628073923556362
Episode 380/10000, Total Reward: -42, Epsilon: 0.9627111116164007
edge already selected: 19
Episode 381/10000, Total Reward: -9999999952, Epsilon: 0.962614840505239
Episode 382/10000, Total Reward: 80, Epsilon: 0.9625185790211885
Episode 383/10000, Total Reward: -74, Epsilon: 0.9624223271632865
Episode 384/10000, Total Reward: -74, Epsilon: 0.9623260849305701
Episode 385/10000, Total Reward: -42, Epsilon: 0.9622298523220771
Episode 386/10000, Total Reward: 22, Epsilon: 0.962133629336845
Episode 387/10000, Total Reward: 16, Epsilon: 0.9620374159739113
Episode 388/10000, Total Reward: 16, Epsilon: 0.961941212232314
edge already selected: 19
Episode 389/10000, Total Reward: -10000000010, Epsilon: 0.9618450181110908
Episode 390/10000, Total Reward: 16, Epsilon: 0.9617488336092797
Episode 391/10000, Total Reward: -74, Epsilon: 0.9616526587259188
Episode 392/10000, Total Reward: -10, Epsilon: 0.9615564934600462
edge already selected: 19
edge already selected: 19
Episode 393/10000, Total Reward: -20000000042, Epsilon: 0.9614603378107003
Episode 394/10000, Total Reward: 48, Epsilon: 0.9613641917769192
edge already selected: 19
Episode 395/10000, Total Reward: -10000000010, Epsilon: 0.9612680553577415
Episode 396/10000, Total Reward: 48, Epsilon: 0.9611719285522058
Episode 397/10000, Total Reward: 16, Epsilon: 0.9610758113593506
edge already selected: 19
